No, Bulan ,Eksekutif,Bisnis,Ekonomi,Total,Tujuan
1,Januari,172853,12229,228675,413757," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
2,Februari,154293,10605,211151,376049," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
3,Maret ,98650,8490,148079,255219," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
4,April,4139,481,13547,18167," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
5,Mei,822,43,3263,4128," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
6,Juni,232,5,4030,4267," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
7,Juli,2420,0,10770,13190," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
8,Agustus,12320,735,28792,41847," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
9,September,11670,123,24962,36755," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
10,Oktober,15707,738,28713,45158," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
11,November,22811,1355,37133,61299," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
12,Desember,21365,2090,39520,62975," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "