No,Bulan ,Eksekutif,Bisnis,Ekonomi,Total,Asal
1,Januari,178417,13132,229322,420871," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
2,Februari,159774,11513,209667,380954," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
3,Maret ,96820,8132,140714,245666," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
4,April,3831,401,13012,17244," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
5,Mei,1137,51,2802,3990," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
6,Juni,225,4,5173,5402," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
7,Juli,2821,0,11144,13965," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
8,Agustus,13108,686,28733,42527," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
9,September,11697,146,24324,36167," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
10,Oktober,15744,508,29121,45373," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
11,November,23552,1126,36196,60874," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "
12,Desember,21169,1700,39411,62280," DAOP 1 (Jakarta), DAOP 3 (Cirebon), DAOP 4 (Semarang) , DAOP 5 (Purwokerto), DAOP 6 (Yogyakarta), DAOP 7 (Madiun),  DAOP 8 (Surabaya), DAOP 9 (Jember)  "