No,Bulan,Kereta Lokal,Asal
1,Januari,1119922,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
2,Februari,1001571,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
3,Maret ,772285,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
4,April,242954,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
5,Mei,292847,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
6,Juni,413674,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
7,Juli,535019,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
8,Agustus,604518,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
9,September,567588,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
10,Oktober,619864,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
11,November,652545,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP
12,Desember,622171,Kiaracondong-Tasikmalaya PP | Purwakarta-Cibatu PP | BANDUNG RAYA (Cicalengka - Padalarang) PP | Cianjur-Sukabumi PP | Purwakarta-Tanjung Priok PP